Epact,D.L.,Day,Feast,Rank,Month
vii,g,22,Thursday after Passion Sunday,F2,4
,,,"Ss. Soter & Caius, Martyrs",M,4
vi,A,23,"St. George, Martyr","D1, OC",4
,,,Friday after Passion Sunday,F2,4
,,,Our Lady of Sorrows,Gd,4
v,b,24,Saturday after Passion Sunday,F2,4
iv,c,25,Palm Sunday,Sd1,4
iii,d,26,Monday in Holy Week,F1,4
,,,"St. Cletus & Marcellinus, Martyrs",M,4
ii,e,27,Tuesday in Holy Week,F1,4
i,f,28,Wednesday in Holy Week,F1,4
,,,"St. Vitalis, Martyr",M,4
*,g,29,Thursday of the Lord’s Supper,D1,4
xxix,A,30,Friday of the Preparation (Good Friday),D1,4
xxviii,b,1,Holy Saturday,D1,5
xxvii,c,2,Sunday of the Resurrection (Easter),"D1, O1",5
xxvi,d,3,Monday in the Octave of Easter,D1,5
25 xxv,e,4,Tuesday in the Octave of Easter,D1,5
,,,The Greater Litanies,,5
xxiv,f,5,Wednesday in the Octave of Easter,D,5
xxiii,g,6,Thursday in the Octave of Easter,D,5
,,,St. John before the Latin Gate,Gd,5
xxii,A,7,Friday in the Octave of Easter,Sd,5
,,,"St. Alexis Toth, Priest & Confessor",M,5
xxi,b,8,Saturday in the Octave of Easter (Sabbato in Albis),D,5
,,,The Apparition of St. Michael the Archangel,Gd,5
,,,"St Boniface IV, Bishop & Confessor",M,5
xx,c,9,The Octave of Easter (Dominica in Albis; Low Sunday),Sd1,5
,,,"St. Gregory Nazianzen, Bishop, Confessor & Doctor",D,5
xix,d,10,"St. Mark, Evangelist (transferred)",D2,5
,,,"Ss. Gordian & Epimachus, Martyrs",M,5
xviii,e,11,"Ss. Philip & James, Apostles (transferred)",D2,5
,,,,,5
xvii,f,12,Finding of the Holy Cross (transferred),D2,5
,,,"Ss. Nereus, Achilles, Domitilla & Pancras, Martyrs",M,5
xvi,g,13,,,5
xv,A,14,"St. Boniface of Tarsus, Martyr",M,5
xiv,b,15,Saturday Office of the B.V.M.,S,5
,,,,,5
xiii,c,16,II Sunday after Easter,Sd,5
xii,d,17,,,5
xi,e,18,"St. Venantius, Martyr",D,5
x,f,19,"Solemnity of St. Joseph, Spouse of the B.V.M.",D1,5
ix,g,20,,,5
viii,A,21,,,5
vii,b,22,Saturday Office of the B.V.M.,S,5
,,,"St. Romanus, Abbot",M,5
vi,c,23,III Sunday after Easter,Sd,5
v,d,24,"St. Vincent of Lerins, Confessor",M,5
iv,e,25,"St. Urban, Bishop & Martyr",M,5
iii,f,26,"St. Augustine of Canterbury, Bishop & Confessor",D,5
,,,Octave of the Solmenity of St Joseph,S,5
,,,"St. Eleutherius, Bishop & Martyr",M,5
ii,g,27,"St. Bede the Venerable, Confessor & Doctor",D,5
,,,"St. John I, Bishop & Martyr",M,5
i,A,28,,,5
*,b,29,Saturday Office of the B.V.M.,S,5
,,,,,5
xxix,c,30,IV Sunday after Easter,Sd,5
,,,"St. Felix I, Bishop & Martyr",M,5
xxviii,d,31,"St. Petronilla, Virgin",M,5
xxvii,e,1,,,6
25 xxvi,f,2,"Ss. Marcellinus, Peter & Erasmus, Martyrs",M,6
xxv,g,3,,,6
xxiii,A,4,,,6
xxii,b,5,"St. Boniface, Bishop & Martyr",D,6
xxi,c,6,V Sunday after Easter,Sd,6
xx,d,7,Rogation Monday,F2,6
xix,e,8,Rogation Tuesday,Comm,6
xviii,f,9,"St. Columba of Iona, Abbot",D,6
