Epact,D.L.,Day,Feast,Rank,Month
ii,A,25,Day II in Octave of St. John Baptist,Sd,6
i,b,26,"Ss. John & Paul, Mm.",D,6
,,,Day III in Octave of St. John Baptist,Sd,6
*,c,27,Day IV in Octave of St. John Baptist,Sd,6
xxix,d,28,Day V in Octave of St. John Baptist,Sd,6
,,,Vigil of Ss. Peter & Paul,V,6
,,,"St. Leo II, B.C.",M,6
xxviii,e,29,"Ss. Peter & Paul, App. (Patriarchal Patron)",D1 CO,6
xxvii,f,30,"Commemoration of St. Paul, Ap.",Gd,6
,,,"Commemoration of St. Peter, Ap.",Comm,6
,,,Day VII in Octave of St. John Baptist,Comm,6
xxvi,g,1,Most Precious Blood of Our Lord Jesus Christ,D2,7
,,,Octave of St John the Baptist,Gd,7
25 xxv,A,2,Visitation of The B.V.M.,D2,7
,,,"St. John of San Francisco, B.C.",M,7
,,,"Ss. Processus & Martinian, M.",M,7
xxiv,b,3,"St. Irenæus of Lyon, B.M.",D,7
,,,Day V in Octave of Ss. Peter & Paul,Sd,7
xxiii,c,4,Day VI in Octave of Ss. Peter & Paul,Sd,7
xxii,d,5,Day VII in Octave of Ss. Peter & Paul,Sd,7
xxi,e,6,Octave of Ss. Peter & Paul,Gd,7
xx,f,7,"Ss. Cyril and Methodius, Bp. Cc.",D,7
xix,g,8,,,7
xviii,A,9,,,7
xvii,b,10,"Seven Holy Brothers & Ss. Rufina and Secunda, Vv. Mm.",M,7
,,,"St. Joseph of Damascus (Priest) & His Companions, Mm.",M,7
xvi,c,11,"St. Pius I, B.M.",M,7
,,,"[Solemnity of St. Benedict, Ab.]",[Gd],7
xv,d,12,"Ss. Nabor & Felix, Mm.",M,7
xiv,e,13,"St. Anacletus, B.M.",M,7
xiii,f,14,,,7
xii,g,15,"St. Vladimir of Kiev, K.C.",D,7
xi,A,16,"Ss. Nicholas & Habib Khasha, Mm.",M,7
,,,[Our Lady of Einsiedeln],[Gd],7
x,b,17,"St. Alexius, C.",M,7
ix,c,18,Translation of St. Raphael of Brooklyn,D,7
,,,"St. Symphorosa & her seven sons, Mm.",M,7
,,,"St. Sergius of Radonezh, Ab.",M,7
